country_host,name,requirements,study_field,study_level,url
el Reino Unido,"Becas y programa de liderazgo Weidenfeld-Hoffmann de la Universidad de Oxford, 2023","1. Debe presentar una solicitud de admisión a un programa de posgrado en Oxford.,2. Debe ser residente habitual en uno de los países elegibles.,3. Debe tener la intención de regresar a su país de residencia habitual una vez que haya completado su curso. Los estudiantes que actualmente están en Oxford no son elegibles para postularse a menos que ya sean becarios Weidenfeld-Hoffmann.,4. Debe poder demostrar una conexión entre su tema de estudio y sus objetivos profesionales a largo plazo, explicando cómo ve su trabajo profesional contribuyendo a la mejora de la vida pública en su país de origen o en un nivel regional o internacional más amplio.,Las cualidades anteriores se evaluarán durante el proceso de selección, incluido el uso de su formulario de solicitud de posgrado, su Declaración de Becas Weidenfeld-Hoffmann y (si corresponde) su entrevista.,Esta beca no está abierta a solicitudes de candidatos que tengan ofertas diferidas (https://www.ox.ac.uk/admissions/graduate/applying-to-oxford/after-you-apply/your-offer-and-contract? wssl=1) para comenzar en 2023-2.",ciencias de la computación,"Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-y-programa-de-liderazgo-weidenfeld-hoffmann-de-la-universidad-de-oxford-a2496/
Eslovaquia,"Becas del Gobierno de la República Eslovaca, 2023-1","ESTUDIANTES UNIVERSITARIOS QUE,1. Sean estudiantes universitarios de universidades fuera de Eslovaquia.,2. Sean estudiantes del segundo nivel de educación superior (estudiantes de maestría), o son estudiantes que al momento de la fecha límite de solicitud ya han completado al menos 2.5 años de sus estudios universitarios en el mismo programa de estudios.,3. Estén en una estancia de estudio en Eslovaquia durante su educación superior fuera de Eslovaquia y será aceptado por una universidad pública, privada o estatal en Eslovaquia para una movilidad académica a estudiar en Eslovaquia.,Las 3 condiciones deben cumplirse. Esta categoría no se aplica a los estudios de doctorado (PhD) (o su equivalente).,Duración de una beca (estudiantes): 1 - 2 semestres completos (es decir, 4 - 5 o 9 - 10 meses) o completos de 1 a 3 trimestres, en caso de que el año académico se divida en trimestres (es decir, 3 - 4 o 6 - 7 o 9-10 meses).,ESTUDIANTES DE DOCTORADO,Cuya educación superior o formación científica se lleva a cabo fuera de Eslovaquia y que son aceptados por una universidad pública, privada o estatal o una institución de investigación en Eslovaquia elegible para llevar a cabo un programa de estudios de doctorado2 (por ejemplo, la Academia de Ciencias de Eslovaquia) para:,1. Efectuar movilidad académica,2. Realizar estudios de licenciatura y posgrado,3. Desarrollar investigación,4. Una estancia artística en Eslovaquia.,Duración de una beca (estudiantes de doctorado): 1 - 10 meses.,PROFESORES UNIVERSITARIOS INTERNACIONALES, INVESTIGADORES Y ARTISTAS,Que son invitados a una estancia de enseñanza / investigación / artística en Eslovaquia por una institución con un certificado válido de elegibilidad para realizar investigación y desarrollo, que no es una empresa comercial3 y tiene su sede en Eslovaquia.,Duración de una beca (profesores universitarios, investigadores o artistas): 1 - 10 meses.,EL PROGRAMA NACIONAL DE BECAS NO APOYA,- A estudiantes internacionales y estudiantes de doctorado aceptados para educación superior completa (licenciatura, maestría, estudios de doctorado) en Eslovaquia, o aquellos que ya estudian en Eslovaquia (educación superior completa) a quienes les gustaría financiar sus estudios en Eslovaquia con el NSP.,- A profesores universitarios, investigadores y artistas sin doctorado (o su equivalente) y al mismo tiempo con más de 4 años de experiencia laboral como profesor / investigador / artista universitario (los estudios de doctorado se consideran experiencia laboral) en la fecha de cierre indicada para la presentación de solicitudes.,- A solicitantes internacionales que en el período de 36 meses antes de la fecha límite de solicitud hayan pasado 12 o más meses en el territorio de la República Eslovaca (en total).,- A Solicitantes internacionales que reciben una beca en Eslovaquia en el marco de otros programas de becas financiados con recursos públicos (por ejemplo, Fondo Internacional Visegrad, Erasmus +, CEEPUS, acuerdos bilaterales, etc.).","ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-del-gobierno-de-la-republica-eslovaca-a0352/
Chile,"Becas de Cooperación Horizontal Chile – Alianza del Pacífico, 2023",,"ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-de-cooperacion-horizontal-chile-alianza-del-pacifico-a2782/
el Reino Unido,"Beca Oxford Pershing Square Graduate Scholarship de la Universidad de Oxford, 2023","CRITERIOS DE ELEGIBILIDAD,1. Solicitantes del programa MBA 1 + 1 de Oxford.,2. Los solicitantes que se postulen a cualquier curso de maestría de un año a tiempo completo que actualmente no sea parte de la lista oficial de socios del Programa MBA 1 + 1, y al MBA (como una solicitud separada).","ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-reino-unido-beca-de-posgrado-pershing-square-oxford-11343/
Indonesia,"Beca para el desarrollo Airlangga – Indonesia, 2023","REQUISITOS DE ADMISIÓN,1. Debe tener una carta de consentimiento del Gobierno de la República de Indonesia cuando sea aceptado como estudiante.,2. Debe tener una carta de recomendación de la Embajada de la República de Indonesia en el país de residencia del estudiante,3. Debe tener un estado de salud adecuado evaluado por los Equipos Médicos de Universitas Airlangga cuando sea aceptado como estudiante.,CRITERIOS DE ELEGIBILIDAD,1. Tener una licenciatura o maestría, con un GPA mínimo igual o superior a 3.00 sobre 4.00 de una universidad de buena reputación dentro de un país en desarrollo,2. Un buen dominio del inglés,3. En una buena salud, comprobado por un certificado de salud,4. Dispuesto a comprar un seguro de salud durante la duración del estudio.,5. Comprometerse con todos los aspectos del programa tras la nominación,6. Ser física y emocionalmente capaz de completar los programas.","ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/beca-para-el-desarrollo-airlangga-indonesia-a3277/
el Reino Unido,"Becas Clarendon Fund Scholarships para maestrías y doctorados en la Universidad de Oxford, 2023","1. No existen restricciones por nacionalidad o país de residencia habitual.,Los becarios de Clarendon provienen de todo el mundo: de EE. UU. a Australia, de Venezuela a Vietnam y de Noruega a Nigeria.,2. Todos los cursos de maestría y doctorado de tiempo completo son elegibles, siempre que haya presentado la solicitud antes de la fecha límite correspondiente de enero para su curso. Puede encontrar una lista de todos los cursos de posgrado que ofrece la Universidad de Oxford en la página de cursos.","ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-reino-unido-beca-clarendon-fund-scholarships-oxford-university-10666/
Alemania,"Becas para las International Climate Protection Fellowships – Alexander von Humboldt Foundation, 2023","1. Tener la ciudadanía de un país en transición no europeo o en vías de desarrollo (ver lista de países) que es también la residencia habitual y el lugar de trabajo del solicitante,2. Habilidades de liderazgo demostradas por experiencia inicial en posiciones de liderazgo y/o referencias apropiadas,3. Amplia experiencia laboral (al menos 48 meses en el momento de la solicitud) en el campo de la protección del clima o la conservación de recursos relacionados con el clima,4. Elección de un proyecto basado en la investigación en el campo de la protección del clima o una conversación sobre recursos relacionados con el clima,5. Muy buen conocimiento de inglés y/o alemán, documentado por certificados de idioma apropiados",ciencias de la computación,Posdoctorado,https://becas-sin-fronteras.com/beca/becas-alemania-international-climate-protection-fellowships-alexander-von-humboldt-foundation-10683/
Argentina,"Becas Study Buenos Aires de posgrado para latinoamericanos, 2023","1. Tener entre 22 y 35 años de edad (cumplidos al 10 de noviembre de 2022 inclusive).,2. No tener nacionalidad argentina ni ser extranjero/a residente en la República Argentina al momento de la postulación.,3. Haber obtenido un título de grado en una universidad acreditada en el país de estudios.,4. Haber terminado la carrera de grado con promedio de 7 o más (o su equivalente según corresponda,debiendo aclarar la escala correspondiente).,5. Cumplir con los requisitos de admisión de las universidades a las que se quiere postular.,6. Contar con un certificado que avale su conocimiento del idioma español (sólo en el caso de que no sea su lengua natal) con un nivel B2 o superior, expedido por una Institución reconocida en su país de origen.","ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-de-posgrado-para-latinoamericanos-del-gobierno-de-la-ciudad-de-buenos-aires-a1923/
Alemania,"Becas para estudiantes internacionales de la Fundación Rosa Luxemburgo, 2023-1","Requisitos de elegibilidad para estudiantes internacionales (se deben cumplir todos los requisitos):,1. Inscripción (o al menos aceptación) en una universidad pública o acreditada públicamente en Alemania.,2. Prueba de haber completado una licenciatura o un estudio básico terminado (Diplomado, Magister, examen estatal),3. Rendimiento académico sobresaliente,4. Compromiso social en el espíritu de la Rosa-Luxemburg-Stiftung,5. Dominio del idioma alemán (al menos nivel B-2): ¡no financiamos cursos de idioma alemán!,No se será elegible para:,a. Terminar un título que ya está casi terminado,b. Licenciatura o estudios básicos,c. Una segunda carrera,d. Un programa de grado a tiempo parcial combinado con un empleo laboral,e. Estudiar en un país distinto de su país de origen","ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-alemania-becas-para-estudiantes-extranjeros-fundacion-rosa-luxemburgo-11214/
Colombia,"Beca Transformando Realidades – BBVA Bancamía, 2022","1. Los clientes cuyos hijos/as deseen nominarse deben ser emprendedores de Bancamía con crédito vigente y al día en el pago de sus cuotas.,2. Los clientes cuyos hijos/as deseen nominarse deberán estar vinculados con Bancamía por más de un año de antigüedad.,3. Los hijos/as que sean nominados deberán haber cursado último año de bachillerato o estar cursándolo, para que puedan presentarse a instituciones educativas que le den un cupo en el primer o segundo semestre de 2023.,4. El hijo/a de los emprendedores no debe poseer un título de nivel igual o superior al de los estudios para los que se está postulando.,5. El cupo en una universidad lo debe conseguir el estudiante. Ni BBVA Colombia ni Bancamía se comprometen a realizar esta gestión.,6. Cada emprendedor/a solo puede nominar un hijo/a.,7. Si el emprendedor/a atendido por Bancamía ya fue ganador en cualquiera de las versiones de la Beca, no podrá nominarse nuevamente. El objetivo es brindarles la oportunidad a más familias de clientes Bancamía.","ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/beca-transformando-realidades-bbva-bancamia-a1906/
