country_host,name,requirements,study_field,study_level,url
Estados Unidos,"Becas OEA – Colorado State University, 2022","1. Esta es una oportunidad de becas para todos los ciudadanos de los Estados Miembros de la OEA.,2. Esta oportunidad de beca está abierta para nuevos solicitantes, así como para estudiantes actuales de CSU que sean de un estado miembro de la OEA y no un beneficiario actual de la beca OEA-CSU.,3. Envíe una solicitud de beca completa con todos los documentos de respaldo requeridos,4. Ser ciudadano y / o residente legal permanente de cualquier estado miembro de la OEA, excepto Estados Unidos.,5. Proporcionar una carta de admisión incondicional de CSU.,LOS SIGUIENTES SOLICITANTES NO SON ELEGIBLES PARA ESTE PROGRAMA:,a. Becarios actuales de la OEA,b. Personal de la SG / OEA y sus familiares inmediatos o consultores de la SG / OEA,c. Funcionarios permanentes de la OEA y sus familiares inmediatos.","ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-oea-colorado-state-university-a3135/
Alemania,"Beca para estudiantes de licenciatura y maestría de la Fundación Heinrich Böll, 2022-2","1. Para ciudadanos extranjeros y/o estudiantes de la UE no formados en Alemania, se les solicitará una prueba de titulación universitaria que le permita realizar una maestría,2. Tener nivel de conocimientos del idioma alemán de al menos B2 o DSH 2 y poseer un certificado que lo compruebe.","ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad",https://becas-sin-fronteras.com/beca/becas-alemania-beca-para-estudiantes-de-la-fundacion-heinrich-boell-ii-a3209/
Alemania,"Beca de Doctorado de la Fundación Heinrich Böll, 2022-2","1. Para ciudadanos extranjeros y/o estudiantes de la UE no formados en Alemania, se les solicitará una prueba de admisión al doctorado por una universidad pública o reconocida por su país de origen.,2. Tener nivel de conocimientos del idioma alemán de al menos B2 o DSH 2 y poseer un certificado que lo compruebe.","ciencias de la computación,Ingeniería",Doctorado,https://becas-sin-fronteras.com/beca/becas-alemania-beca-doctorado-fundacion-heinrich-boell-ii-a3208/
,,,,,
,,,,,
Alemania,"Beca para estudiantes de licenciatura y maestría de la Fundación Heinrich Böll, 2023-1","1. Para ciudadanos extranjeros y/o estudiantes de la UE no formados en Alemania, se les solicitará una prueba de titulación universitaria que le permita realizar una maestría,2. Tener nivel de conocimientos del idioma alemán de al menos B2 o DSH 2 y poseer un certificado que lo compruebe.","ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad",https://becas-sin-fronteras.com/beca/becas-alemania-beca-para-estudiantes-de-la-fundacion-heinrich-boll-11197/
,,,,,
Alemania,"Beca de Doctorado de la Fundación Heinrich Böll, 2023-1","1. Para ciudadanos extranjeros y/o estudiantes de la UE no formados en Alemania, se les solicitará una prueba de admisión al doctorado por una universidad pública o reconocida por su país de origen.,2. Tener nivel de conocimientos del idioma alemán de al menos B2 o DSH 2 y poseer un certificado que lo compruebe.","ciencias de la computación,Ingeniería",Doctorado,https://becas-sin-fronteras.com/beca/becas-alemania-beca-doctorado-fundacion-heinrich-boll-11196/
,,,,,
,,,,,
